Complexity,Loss,Equation
1,0.026289562,"1.6157715"
4,0.007846371,"exp(0.79324126 / s)"
5,0.0019493897,"(0.93038917 / s) + 1.086087"
6,0.0016028029,"(1.8681957 / exp(s)) + 1.2992129"
8,0.0015054706,"(2.4936478 / (exp(s) + 0.81647223)) + 1.2540677"
9,0.0007226685,"(6.2390304 / (exp(square(s)) + 10.459532)) + 1.4369215"
11,0.0006163587,"(0.42411685 / exp(s * square(s + -1.0429255))) + 1.4522051"
13,0.000606902,"(1.8648044 / (exp(s * square(s + -0.68596035)) + 3.2933433)) + 1.4568461"
15,0.0005807271,"(1.18719 / ((s + 0.7429999) + exp(square((s + -1.1765517) * 2.1034799)))) + 1.4579706"
17,0.00023073096,"(1.4539945 / (square(((s - 1.598802) * (s - 1.1684111)) * -13.418475) + exp(s))) + 1.4539945"
19,0.00020082202,"(1.2391839 / (square(((s - 1.598802) * -13.418475) * (1.1684111 - s)) + (0.856295 * exp(s)))) + 1.4539945"
20,0.00018433991,"(1.4534538 / (square(((1.1784872 - s) * 14.339788) * (1.5936798 - s)) + ((s + 1.5843067) * s))) + 1.454151"
21,0.00017310964,"(s / (((s + 0.6459127) * square(s)) + square(((s - 1.5805494) * -13.710057) * (1.176171 - s)))) + 1.4490283"
23,0.00016374412,"(s / (((s + 1.0874778) * (square(s) * 0.814544)) + square(((1.5785103 - s) * (s - 1.1695935)) * 14.11928))) + 1.4494741"
